Code,Expenditure (English),Aggregate
EF243,Food,0
EF244,Soft drinks,1
EF245,Alcoholic beverages (including non-alcoholic beers and wines),2
EF246,Tobacco products,3
EF247,Drugs,3
EF248,Clothing fabrics,4
EF249,Clothing for men aged 14 and over,5
EF250,Clothing for women aged 14 and over,5
EF251,Clothing for children under the age of 14,5
EF252,Clothing accessories,6
EF253,Foreign changes and repairs to clothing (including rental fees),7
EF254,"Dry cleaning, washing, ironing and dyeing clothing",7
EF255,Shoes for men from 14 years,8
EF256,Shoes for women aged 14 and over,8
EF257,Shoes for children under 14 years,8
EF258,Shoe accessories,8
EF259,Foreign changes and repairs to shoes (including rental fees),9
EF260,"Net cold rent for owner-occupied main apartment, for information",83
EF261,"Permanent rent in hotels, inns, guest houses (for main, secondary, leisure apartments)",10
EF262,"Sublease including operating costs and user fees (for main, second, leisure apartments)",10
EF263,Rent for main apartment (gross),10
EF264,"Net cold rent for owner-occupied leisure apartment, for information",83
EF265,"Net cold rent for owner-occupied second home, for information",83
EF266,Rent for garage and parking spaces (connected to the apartment) - formerly 0724060,12
EF267,Rent for storage space,12
EF268,"Rent for second homes, leisure apartments (gross)",10
EF269,"Imputed rent payments for owner-occupied apartments as the main apartment, building built until 1948, (excluding operating costs, heating costs and garage rent) (net)",11
EF270,"Imputed rent payments for owner-occupied apartments as the main apartment, building built from 1949 to 1990, (excluding operating costs, heating costs and garage rent) (net)",11
EF271,"Imputed rent payments for owner-occupied apartments as the main apartment, building erected from 1991 to 2000, (excluding operating costs, heating costs and garage rent) (net)",11
EF272,"Imputed rent payments for owner-occupied apartments as the main apartment, building constructed in 2001 and later, (without operating costs, heating costs and garage rent) (net)",11
EF273,Imputed rental payments for free main apartments (tenants); Dependency of relatives and the like (net),11
EF274,Imputed rental payments for free second homes (tenants); Dependency of relatives and the like (net),11
EF275,"Imputed rent payments for owner-occupied apartments as second homes, leisure homes (without operating costs, heating costs and garage rent) (net)",11
EF276,Rental value of the owner's garages - formerly 0724061,12
EF277,Rental value for rent-free garages / parking spaces - formerly 0724062,12
EF278,"Expenditures for maintenance and cosmetic repairs - own work, tenants / subtenants for main, secondary, leisure apartments",13
